None
4532306,-4,200,944

4665292,12,208,964

4665341,8,196,956

4665390,8,196,956

4665488,8,200,948

4665538,12,200,948

4665586,12,200,948

4665686,8,196,964

4665735,8,204,948

4665833,8,200,952

4665883,8,200,952

4665981,12,196,960

4666032,12,196,960

4666081,8,196,944

4666178,8,192,952

4666228,8,192,952

4666327,8,192,956

4666376,20,236,928

4666475,16,192,980

4666525,16,192,980

4666574,12,196,968

4666674,4,128,1000

4666724,4,128,1000

4666822,4,204,936

4666872,0,200,928

4666920,0,200,928

4667019,8,200,940

4667068,12,208,948

4667167,16,204,948

4667217,16,204,948

4667267,16,204,948

4667366,12,192,932

4667416,16,192,956

4667515,16,204,964

4667566,16,204,964

4667615,12,216,952

4667713,12,204,944

4667764,12,204,944

4667863,12,204,956

4667913,16,204,940

4668012,12,204,948

4668062,12,204,948

4668111,16,192,952

4668211,20,188,956

4668261,20,188,956

4668360,12,192,960

4668410,12,196,956

4668460,12,196,956

4668558,16,180,932

4668609,16,204,952

4668707,16,204,952

4668758,8,208,944

4668807,8,208,944

4668905,12,200,936

4668955,4,204,952

4669053,12,184,956

4669104,12,184,956

4669203,12,200,956

4669253,12,200,952

4669302,12,200,952

4669401,12,204,944

4669452,12,164,980

4669550,8,200,956

4669600,8,200,956

4669648,16,204,952

4669748,12,200,948

4669798,12,200,948

4669897,12,196,948

4669947,4,200,956

4669996,4,200,956

4670094,8,184,960

4670144,8,184,960

4670242,16,196,956

4670292,8,200,952

4670390,4,204,952

4670440,4,204,952

4670489,8,204,944

4670586,12,200,940

4670637,12,200,940

4670735,8,200,948

4670785,16,208,960

4670834,16,208,960

4670932,8,196,952

4670983,12,188,956

4671081,8,196,952

4671131,8,196,952

4671229,8,200,944

4671329,12,204,964

4671429,12,196,952

4671479,12,196,952

4671578,12,192,956

4671629,12,204,952

4671678,12,204,952

4671776,8,196,956

4671825,16,200,960

4671925,4,196,948

4671975,4,196,948

4672023,12,196,944

4672122,12,192,940

4672173,12,192,940

4672271,16,204,952

4672322,16,196,952

4672371,16,196,952

4672470,4,200,952

4672520,16,196,960

4672618,8,200,956

4672668,8,200,956

4672765,12,204,948

4672866,8,200,944

4672965,8,192,964

4673015,8,192,964

4673113,8,200,948

4673163,8,192,952

4673212,8,192,952

4673310,12,200,960

4673360,16,200,944

4673459,8,200,960

4673509,8,200,960

4673607,20,204,952

4673658,20,200,944

4673707,20,200,944

4673806,8,200,952

4673855,12,204,948

4673954,12,204,948

4674004,12,192,944

4674054,12,192,944

4674153,12,200,948

4674203,20,200,952

4674301,12,200,952

4674353,12,200,952

4674402,12,200,944

4674500,12,200,948

4674550,12,200,948

4674650,12,192,944

4674700,12,188,948

4674749,12,188,948

4674848,12,196,948

4674898,12,196,952

4674998,8,196,952

4675047,8,196,952

4675145,12,204,948

4675196,8,192,952

4675345,12,196,936

4675395,12,196,952

4675494,12,200,952

4675545,4,204,956

4675594,4,204,956

4675692,16,204,952

4675742,12,188,944

4675841,8,196,964

4675940,16,196,944

4676040,8,204,960

4676090,8,204,960

4676189,12,200,956

4676239,8,196,952

4676288,8,196,952

4676386,16,196,944

4676436,8,208,944

4676535,12,200,956

4676585,12,200,956

4676683,16,204,956

4676734,12,192,956

4676784,12,192,956

4676882,4,200,944

4676932,4,200,944

4677029,4,200,952

4677080,12,196,940

4677129,12,196,940

4677228,12,196,956

4677278,8,196,948

4677376,8,204,948

4677426,8,204,948

4677524,12,204,948

4677575,16,204,952

4677623,16,204,952

4677723,16,200,956

4677773,12,204,956

4677872,12,212,948

4677922,12,212,948

4677971,8,200,944

4678070,8,200,944

4678119,12,200,944

4678218,12,196,948

4678268,12,196,948

